Finalize,Verify,Follow-Up,Trapped Date,Is Import,Facility,Trap,Trap Is Offsite,Trapping Session Name,Target Species,Target Run,Trapping Session Comments,Fish ID,Count,Species,Run,Sex,Origin,Origin Expression,Origin Description,Origin Start Date,Origin End Date,Origin Creator,Origin Creation Date,Living Status,Length,Age Designation,Age Calculated,Age Criteria Start Length,Age Criteria End Length,Age Criteria Start Date,Age Criteria End Date,Moved To Facility,Moved To,Moved To Location Type,Moved To Is Offsite,Offsite Owner Facility,Offsite Location Latitude,Offsite Location Longitude,Offsite Location Description,Disposition,Release Site,Release Site Latitude,Release Site Longitude,Purpose,Existing Marks,Existing Marks Quantity,Applied Marks,Applied Marks Quantity,Existing Tags,Applied Tags,Existing CWT,Existing CWT Value,Applied CWT,Applied CWT Value,Existing PIT,Applied PIT,Samples,Conditions,Recap,Injected,Weight,Notes,Group Notes,Import Custom
FALSE,FALSE,FALSE,7/10/2018,TRUE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 07/10/2018 Lostine River Weir 7:00 AM PST,Chinook,Summer,54.7 F,60,1,Chinook,Summer,Female,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,Alive,780,Adult,TRUE,631,1500,2/15/2018,12/31/2018,NPT GRSME Program,Lookingglass Fish Hatchery,Holding,FALSE,NA,NA,NA,NA,Ponded,NA,NA,NA,Brood Stock,AD,1,NA,NA,NA,NA,Present,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA
FALSE,FALSE,FALSE,6/27/2015,TRUE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 06/27/2015 Lostine River Weir 7:17 PM PST,Chinook,Summer,56.6 F,55,1,Chinook,Summer,Female,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,Alive,830,Adult,TRUE,631,1500,2/15/2015,9/30/2015,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,AD,1,LOP,1,NA,NA,Present,NA,NA,NA,NA,NA,GEN 2015-LRW-ChS-0315,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,8/28/2015,TRUE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 08/28/2015 Lostine River Weir 9:31 AM PST,Chinook,Summer,55.6 - 55.7 F,27,1,Chinook,Summer,Male,Hatchery,Existing Adipose Clipped [Mark AD]  or Existing Coded Wire Tag [Tag CWT],Hatchery,NA,NA,Default,5/17/2017,Alive,743,Adult,TRUE,631,1500,2/15/2015,9/30/2015,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,AD,1,LOP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2015-LRW-ChS-0773,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,5/24/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 05/24/2019 Lostine River Weir 8:00 AM PST,Steelhead,Summer,43.3 F,1,1,Steelhead,Summer,Male,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,Alive,580,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNC,1,LOP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2019-LRW-STS-018,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,5/24/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 05/24/2019 Lostine River Weir 8:00 AM PST,Steelhead,Summer,43.3 F,2,1,Steelhead,Summer,Male,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,Alive,590,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNC,1,LOP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2019-LRW-STS-017,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,5/28/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 05/28/2019 Lostine River Weir 8:00 AM PST,Steelhead,Summer,43.7 F,1,1,Steelhead,Summer,Male,Natural,Existing Unclipped [Mark UNC]  and Existing Coded Wire Tag-Not Present [Tag CWT-NP],Natural,NA,NA,Default,5/17/2017,Alive,532,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNC,1,LOP,1,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2019-LRW-STS-019,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,5/28/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 05/28/2019 Lostine River Weir 8:00 AM PST,Steelhead,Summer,43.7 F,2,1,Bull Trout,NA,Unknown,Uncategorized,NA,NA,NA,NA,NA,NA,Alive,514,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2019-LRW-BT-002,NA,FALSE,FALSE,NA,tail clip,NA,NA
FALSE,FALSE,FALSE,5/28/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 05/28/2019 Lostine River Weir 8:00 AM PST,Steelhead,Summer,43.7 F,3,1,Mtn White Fish,NA,Unknown,Uncategorized,NA,NA,NA,NA,NA,NA,Alive,NA,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNK,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,1 fish >12,NA,NA
FALSE,FALSE,FALSE,6/11/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 06/11/2019 Lostine River Weir 7:00 AM PST,Chinook,Summer,43.2 F,1,1,Bull Trout,NA,Unknown,Uncategorized,NA,NA,NA,NA,NA,NA,Alive,540,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2019-LRW-BT-003,NA,FALSE,FALSE,NA,NA,NA,NA
FALSE,FALSE,FALSE,6/11/2019,FALSE,NPT GRSME Program,Lostine River Weir,FALSE,Session - 06/11/2019 Lostine River Weir 7:00 AM PST,Chinook,Summer,43.2 F,2,1,Bull Trout,NA,Unknown,Uncategorized,NA,NA,NA,NA,NA,NA,Alive,560,NA,FALSE,NA,NA,NA,NA,NPT GRSME Program,Lostine River: Above Weir,Release Site,FALSE,NA,NA,NA,NA,Released,Lostine River: Above Weir,45.5431365966797,-117.484237670898,Natural Spawning,UNC,1,NA,NA,NA,NA,Not Present,NA,NA,NA,NA,NA,GEN 2019-LRW-BT-004,NA,FALSE,FALSE,NA,NA,NA,NA
