trap_year,week_label,week_start,nor_timing_pct,female_no_goal,female_ho_goal,male_no_goal,male_ho_goal
2026,1,8-Jun,0.003100775,0,0,0,0
2026,2,15-Jun,0.037548017,1,2,1,2
2026,3,22-Jun,0.078520821,2,4,2,4
2026,4,29-Jun,0.09804654,3,6,3,6
2026,5,6-Jul,0.267533832,7,15,6,15
2026,6,13-Jul,0.212952324,5,12,5,12
2026,7,20-Jul,0.06252407,2,4,1,3
2026,8,27-Jul,0.02693886,1,2,1,1
2026,9,3-Aug,0.011388933,0,1,0,1
2026,10,10-Aug,0.00715242,0,0,0,0
2026,11,17-Aug,0.014185381,0,1,0,1
2026,12,24-Aug,0.035227722,1,2,1,2
2026,13,31-Aug,0.090070376,2,5,2,5
2026,14,7-Sep,0.04899733,1,3,1,3
2026,15,14-Sep,0.005812599,0,0,0,0
